county,Median_Income ,Education_Level,Homeownership,Population_Density
Alpena County,42792,17.5,80.07,19.1
Alpena County,42792,17.5,80.07,19.1
Alpena County,42792,17.5,80.07,19.1
Alpena County,42792,17.5,80.07,19.1
Alpena County,42792,17.5,80.07,19.1
Alpena County,42792,17.5,80.07,19.1
Alpena County,42792,17.5,80.07,19.1
Alpena County,42792,17.5,80.07,19.1
Alpena County,42792,17.5,80.07,19.1
Alpena County,42792,17.5,80.07,19.1
